mdsp_dm,mdsp_inst,mdsp_nsp,mdsp_auddig,mdsp_audtr,mdsp_vidtr,mdsp_viddig,mdsp_so,mdsp_on,mdsp_sem
113918.9723639941,12107.336769108475,19166.117955471356,82.00998880168068,9133.218894872054,36091.75721409138,2250.3906305973924,0.0,3850.506989866216,111142.66404449218
416925.3964547181,56867.28408485928,157943.86071750303,790.0026285640153,69539.59844848744,122515.1568034748,13673.279141991927,0.0,29009.124596701735,286836.8841480849
829152.4410715976,89911.388597535,412950.4059903791,2528.8148535795312,148548.5613677485,131376.6916421231,21983.52892474326,0.0,76810.1793122146,338563.0203911515
1147729.4917377685,97325.77063949217,477635.7817026933,3788.1194049591068,125581.50313347108,96978.13550794755,12143.97832153796,0.0,105783.36224765211,349917.21524652577
1174429.3747738528,121998.45446129897,346797.4811141842,4068.4466576758796,107668.1642862837,118698.15506673622,7922.836860050186,0.0,134646.67066218154,373074.0458620368
1370618.6692009773,136812.7439750546,361997.4615766531,4907.911502823318,141621.2678637825,164545.89165142237,11208.105166285104,0.0,192338.524253389,365378.61130787927
1236764.1522995315,105675.42512963452,493353.6421352986,4734.47535492477,152970.00985615302,156217.27263126077,17117.37357248334,23.545240049351882,215426.3169641469,337844.516761212
1082514.3828676136,61629.63460498046,405070.54539153737,3362.9926530822922,146249.66004356797,157944.59130722683,21479.460697533843,208.4184300363975,243050.27216271087,298567.86337567493
1093719.265988737,56182.36684528475,264880.09187288303,2228.5158255951665,118801.13829213577,176260.29919460416,24760.361510804,654.4538393612206,265551.338169514,231081.1514674399
865520.0818430784,66523.01248909731,240290.66569623322,2019.6017874164684,79654.474650204,176170.06814303107,21479.01580922342,1142.9390515235873,234082.22376530143,234289.66453055284
907265.9142195443,83121.82406985451,299736.9560764601,2472.2649620668594,79760.015687397,181542.55740694285,12913.35747701106,1482.8712779700134,225359.39769039134,368792.1785421424
1318015.3802048238,109294.67055840787,469928.5179531308,3155.61949391608,132547.31942068104,174520.40405360278,7838.805863239466,2034.2715138672543,188676.0021717525,530062.9953958506
1189567.8123309931,100022.64121272507,597448.7775928506,3083.843736121833,177457.64850542476,146863.58850545075,4638.964629202789,4342.687868498778,143616.250567755,506795.90866553294
951563.6794600129,81369.71308381046,558983.7986174149,2161.360602372734,190949.43304447335,124341.21904803831,3309.131652768287,6616.597874414496,142491.77484260872,552328.4928428592
1204069.5039075387,116377.97442984645,465508.35269660887,2255.804655329789,133208.91138246233,196347.9444324834,4055.4941465034244,5358.639497269039,187696.21422748963,648759.1798187548
